response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant,gene,control_detect_frac,control_mean_cpm,passes_expression_filter,expected_ko_direction,direction_matches_expectation
Galnt1,Galnt1,79,2090,True,0.272,1.06483599670522,0.0665252937556347,0.0906312473901578,False,Galnt1,0.9034453424074801,2.186795636883715,True,negative,False
Cluh,Cluh,39,1627,True,0.276,0.877385129244159,0.0960247980083557,-0.188717840487726,False,Cluh,0.7039557635048869,0.932606637851991,True,negative,True
Nsmce1,Nsmce1,17,1115,True,0.284,1.19554169781816,0.226416267916428,0.25766444890055,False,Nsmce1,0.4836239897915749,0.426757574234098,True,negative,False
Abhd17a,Abhd17a,15,1118,True,0.288,0.811655257413002,0.156579294788125,-0.301061007907628,False,Abhd17a,0.4857507443640972,0.4516277678725187,True,negative,True
Triobp,Triobp,26,1466,True,0.288,0.831415858974686,0.124917635247898,-0.266357827745476,False,Triobp,0.6376010208421906,0.7704153203109664,True,negative,True
Ccdc28b,Ccdc28b,10,238,True,0.296,1.3985882356616,0.419554347705694,0.483971275005244,False,Ccdc28b,0.10421097405359372,0.07096152115429873,True,negative,False
Rad17,Rad17,32,633,True,0.296,0.850172024101753,0.130701717513348,-0.234173308685758,False,Rad17,0.27647809442790133,0.19676201720028266,True,negative,True
Uap1,Uap1,68,2036,True,0.296,1.08029996860395,0.0694517738375886,0.111431963433894,False,Uap1,0.8796256911952302,2.0329271832545888,True,negative,False
Zfp407,Zfp407,25,233,True,0.296,0.808741603261331,0.154321260514097,-0.306249266448211,False,Zfp407,0.1033602722245848,0.06405967755385526,True,negative,True
Afg3l2,Afg3l2,76,1386,True,0.304,0.924527446407899,0.0868984290518636,-0.113211945394391,False,Afg3l2,0.6010208421948068,0.6158468257296099,True,negative,True
Fam234b,Fam234b,18,481,True,0.304,1.24505786584483,0.23581902260439,0.316212795166734,False,Fam234b,0.21225010633772737,0.14927673714322684,True,negative,False
Agps,Agps,54,1423,True,0.312,0.882114978480152,0.0994935402682646,-0.180961380066031,False,Agps,0.6176095278604808,0.6938872410742859,True,negative,True
Acy1,Acy1,41,935,True,0.316,1.14845268358286,0.150810703111148,0.199691418695319,False,Acy1,0.4096129306677983,0.3572954953872819,True,negative,False
Cstf3,Cstf3,63,1367,True,0.32,0.888012933163432,0.0921771227123698,-0.171347406515955,False,Cstf3,0.5925138239047175,0.6040729426632142,True,negative,True
Narf,Narf,27,762,True,0.32,1.23879236397336,0.209602783595998,0.308934395251688,False,Narf,0.33304976605699493,0.30735988812358644,True,negative,False
Stard10,Stard10,114,2259,True,0.324,0.937824668047595,0.0517191660067154,-0.0926098674367755,False,Stard10,0.9770310506167522,5.396458743581549,True,negative,True
Tbrg1,Tbrg1,64,2196,True,0.324,0.934958460740674,0.0608667886727584,-0.0970258259455833,False,Tbrg1,0.9489578902594576,2.928562440613596,True,negative,True
Sec11c,Sec11c,42,1411,True,0.328,1.10306728900684,0.181520785851318,0.141520800499071,False,Sec11c,0.6125053168864273,0.6854951473572056,True,negative,False
Itfg2,Itfg2,45,1096,True,0.332,1.12388478502832,0.136596874049783,0.168494145355988,False,Itfg2,0.47596767333049456,0.45678469147426787,True,negative,False
Tars2,Tars2,31,1318,True,0.336,0.861943051718021,0.123366391661652,-0.214335540791141,False,Tars2,0.5716716290939988,0.6026143736667671,True,negative,True
Map4k5,Map4k5,24,1191,True,0.344,0.861240975733858,0.177356279966281,-0.215511133856755,False,Map4k5,0.5189281156954454,0.5153169530618027,True,negative,True
Dpm2,Dpm2,47,1255,True,0.348,1.11295754947305,0.126449053752269,0.154398566325275,False,Dpm2,0.5444491705657132,0.53763561249237,True,negative,False
Tmem243,Tmem243,35,686,True,0.348,1.145155120814,0.173873015205353,0.195543036637649,False,Tmem243,0.3011484474691602,0.2454528262490967,True,negative,False
Azi2,Azi2,37,1508,True,0.352,1.12751733154963,0.132554478847855,0.173149609931682,False,Azi2,0.6529136537643513,0.7452174067096276,True,negative,False
Pex3,Pex3,13,574,True,0.352,0.774161087680798,0.185585224734834,-0.369294300846379,False,Pex3,0.24925563589961566,0.1823896477386548,True,negative,True
Rasa2,Rasa2,21,847,True,0.352,1.20457330567201,0.208026606487591,0.268522193087729,False,Rasa2,0.3704806465333877,0.3061268949211841,True,negative,False
Txndc9,Txndc9,58,2193,True,0.352,1.05700449106232,0.0663314560606943,0.079981506540438,False,Txndc9,0.9476818375159443,2.966277540964181,True,negative,False
Chpt1,Chpt1,34,895,True,0.368,1.12051080854541,0.157132714556733,0.164156565278161,False,Chpt1,0.3921735431731153,0.3249252154787435,True,negative,False
Cnnm3,Cnnm3,13,763,True,0.372,0.75135758194995,0.182146188039699,-0.412428424260147,False,Cnnm3,0.33262441514249047,0.2606821391542086,True,negative,True
Fam172a,Fam172a,18,930,True,0.372,0.802215218406094,0.153993878882582,-0.31793875986091,False,Fam172a,0.40535942152275367,0.34557288194836144,True,negative,True
Retreg2,Retreg2,38,1652,True,0.392,1.10663285962803,0.11204780670661,0.146176667966722,False,Retreg2,0.7158655891110118,0.9352928679611078,True,negative,False
Zfp983,Zfp983,28,397,True,0.396,1.15385633917518,0.209468292991337,0.206463612491732,False,Zfp983,0.17439387494683015,0.11420513578490175,True,negative,False
Arhgef26,Arhgef26,63,1708,True,0.404,1.09057668623292,0.104344703375719,0.125091219733902,False,Arhgef26,0.7384091875797484,1.1847292377090402,True,negative,False
Lrig2,Lrig2,31,935,True,0.404,0.89133277375338,0.147679768779467,-0.165963941015557,False,Lrig2,0.4087622288387894,0.3740869322814801,True,negative,True
Ccdc174,Ccdc174,135,1601,True,0.408,1.04771021920117,0.0663015894585351,0.067239744421773,False,Ccdc174,0.6933219906422753,0.865428531781808,True,negative,False
Oser1,Oser1,53,1589,True,0.408,1.05638253032199,0.132496026620934,0.0791323485844806,False,Oser1,0.6877924287537173,0.901729677155237,True,negative,False
Nqo2,Nqo2,79,1939,True,0.416,1.05049233067399,0.0715955121025475,0.071065629370327,False,Nqo2,0.8383666524882972,1.5004629490748869,True,negative,False
Tmem120b,Tmem120b,21,488,True,0.416,0.83751190609151,0.167936086485427,-0.255818394892773,False,Tmem120b,0.21437686091024968,0.16042617484247346,True,negative,True
Tbl1xr1,Tbl1xr1,101,2037,True,0.424,1.03831036598895,0.0693564328360822,0.0542377505791789,False,Tbl1xr1,0.8800510421097346,1.9575725415628877,True,negative,False
Uevld,Uevld,34,1431,True,0.424,1.09813588269761,0.142357619616991,0.135056583637027,False,Uevld,0.6218630370055255,0.7916146468347768,True,negative,False
Fbxw5,Fbxw5,70,1458,True,0.428,0.923076784636291,0.0869309629356625,-0.115477433791534,False,Fbxw5,0.6316461080391281,0.7130274086261561,True,negative,True
Foxk2,Foxk2,27,851,True,0.428,0.862075155454831,0.143035208362674,-0.214114446367012,False,Foxk2,0.37090599744789216,0.2996161505134592,True,negative,True
Gars,Gars,22,366,True,0.428,1.18107307301003,0.233810756529987,0.240098227061821,False,Gars,0.15950659293917394,0.10352636894638417,True,negative,False
Map4k2,Map4k2,34,1115,True,0.428,1.12126471321351,0.136483888474287,0.165126916284687,False,Map4k2,0.48532539344959275,0.44735978897317125,True,negative,False
Rnd3,Rnd3,35,1861,True,0.428,1.09006014519469,0.113269391407663,0.124407739387723,False,Rnd3,0.8056146320714536,1.4060115913441453,True,negative,False
Zfp512b,Zfp512b,43,979,True,0.428,1.0879651283937,0.160642153185327,0.121632315871596,False,Zfp512b,0.4270523181624813,0.3885249270570062,True,negative,False
Acp6,Acp6,23,870,True,0.432,0.862587142496519,0.146027853984065,-0.213257883098228,False,Acp6,0.3798383666524859,0.33026414800970816,True,negative,True
Anapc11,Anapc11,181,2124,True,0.432,1.03023844362395,0.0404455412846119,0.0429782807308381,False,Anapc11,0.9187579753296408,2.584764991110937,True,negative,False
Med8,Med8,57,1488,True,0.436,1.06832914172016,0.106464512302301,0.095356195687854,False,Med8,0.6456826882177754,0.751682205358126,True,negative,False
Polr3d,Polr3d,41,671,True,0.436,0.89868153280555,0.123410535542217,-0.154118138703479,False,Polr3d,0.29349213100807986,0.21884319041824812,True,negative,True
Dynlrb1,Dynlrb1,69,2275,True,0.44,1.03186116163946,0.0513298546559775,0.0452488671865105,False,Dynlrb1,0.9834113143343192,4.895180190600746,True,negative,False
Uqcc1,Uqcc1,26,815,True,0.44,0.871071604287048,0.152084304369141,-0.199136778010612,False,Uqcc1,0.355168013611227,0.27122910499506986,True,negative,True
