response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant
Slc39a9,Slc39a9,47,1057,True,0.724,0.948597987326923,0.116590711468761,-0.0761312874825176,False
Fgfr2,Fgfr2,124,1775,True,0.728,0.948705919067181,0.0731822633536256,-0.0759671465812438,False
Sdr39u1,Sdr39u1,11,219,True,0.732,1.14888858702509,0.332124635041685,0.200238900038206,False
Ublcp1,Ublcp1,51,1322,True,0.732,0.955984367689763,0.0941192579682009,-0.0649410675190444,False
Anln,Anln,24,1323,True,0.736,0.996889534266203,0.148793991016859,-0.0044944470300366,False
Sertad3,Sertad3,15,503,True,0.736,1.08023440616767,0.26652033727429,0.11134440490871,False
Mbd3,Mbd3,45,2194,True,0.74,1.0293604638508,0.0895210907264604,0.0417482770278254,False
Pex13,Pex13,115,1769,True,0.74,0.973411908259396,0.0647986269873173,-0.0388776709164273,False
Ccser2,Ccser2,36,1134,True,0.744,0.950171811835946,0.138732230797222,-0.0737396870522105,False
Slc25a30,Slc25a30,39,1640,True,0.744,0.964548917130439,0.111844449938765,-0.0520736884305834,False
Tbcb,Tbcb,98,2227,True,0.752,0.992202414181959,0.0403912220605874,-0.011293627352293,False
Fbxo11,Fbxo11,42,1658,True,0.756,1.03247099067377,0.101491564720957,0.0461012468272564,False
Aff4,Aff4,75,2223,True,0.76,0.982643913768712,0.053028958310904,-0.0252593811793634,False
Bdp1,Bdp1,51,977,True,0.76,0.969177315973659,0.119206402217912,-0.0451674566223416,False
Papss2,Papss2,19,571,True,0.76,0.87960643250543,0.203834681497394,-0.185069940319594,False
Sidt2,Sidt2,85,1638,True,0.76,0.979169963325154,0.0782747530483084,-0.0303687917858046,False
Nkap,Nkap,27,1206,True,0.768,0.941746616943025,0.128305796653125,-0.0865891493303433,False
Grpel2,Grpel2,29,931,True,0.78,0.948080084263352,0.142287434073619,-0.076919166259877,False
Pdcd5,Pdcd5,70,2111,True,0.78,1.02405955772576,0.0677922163221837,0.0342996226982312,False
Slc39a1,Slc39a1,79,2059,True,0.784,1.01681370128926,0.0687564431969572,0.0240553755114674,False
Abi1,Abi1,84,1952,True,0.788,0.97996343920579,0.0704261513997856,-0.0292001691905567,False
Anapc4,Anapc4,194,2029,True,0.792,1.00812874277858,0.0452722059109094,0.0116798895402009,False
Smn1,Smn1,30,680,True,0.796,1.03858852456646,0.182025558969452,0.054624190193144,False
Rab20,Rab20,27,597,True,0.8,0.93398840581522,0.176484650585482,-0.098523453921061,False
Smco4,Smco4,18,387,True,0.8,1.07907295751793,0.240094751026572,0.10979241060073,False
Tram1,Tram1,67,2272,True,0.804,0.982603371599393,0.0542698762713219,-0.0253189054815388,False
Tmem265,Tmem265,27,849,True,0.82,1.02528831442932,0.172980010590697,0.0360296573489631,False
Ammecr1l,Ammecr1l,13,528,True,0.824,0.941382371794717,0.22999438944618,-0.087147257329135,False
