names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
Lcat,0.418404,0.5756306,0.6756517451280601,1.0,0.015802883219918084
Unc13b,0.4182874,0.14297543,0.6757370008757554,1.0,0.09568807043570807
Nipal1,0.418103,0.08189152,0.6758717946379442,1.0,0.14561228109781663
Tmem39b,0.4180897,0.06187036,0.6758815391681223,1.0,0.18876382752281742
Rpp38,0.41801637,0.021508299,0.6759351350547009,1.0,0.41887315767407357
Xrcc6,0.41801417,0.010787138,0.6759367591981158,1.0,0.6663656593672397
Iqgap2,0.41790533,0.14908312,0.6760163440727962,1.0,0.06456606572709388
Cmip,0.4176554,0.019759212,0.6761990781446884,1.0,0.5398135904795691
Gtf3c1,0.4173133,0.020367725,0.6764492517094367,1.0,0.7767923372141774
Timm23,0.41720113,0.007968727,0.6765312969225312,1.0,0.786467571838617
Ppp1r3b,0.4167524,0.14419949,0.6768595161661115,1.0,0.0532460412164995
Hap1,0.41674796,0.15195085,0.6768627661685773,1.0,0.07704711839262102
Nip7,0.41669133,0.022560509,0.6769042042274698,1.0,0.5608733511787661
Polg2,0.41619483,0.035586674,0.6772674384694284,1.0,0.08104621537072274
Stk3,0.41601825,0.018703833,0.6773966606987596,1.0,0.7191601896345986
Btbd8,0.41587162,0.03999722,0.6775039467435902,1.0,0.21620924307414455
Zfp644,0.4157039,0.00741984,0.6776266834984039,1.0,0.5761602218853807
Ctif,0.4153174,0.08817156,0.6779095795950993,1.0,0.19743928790273163
Gpbp1l1,0.41459987,0.015653146,0.6784348461774912,1.0,0.3266681717031638
Acvr1b,0.41452768,0.026313711,0.678487706735416,1.0,0.3475989292740349
Tarbp2,0.41430554,0.05414326,0.678650364527488,1.0,0.18463572741638984
Tmem260,0.41420558,0.08893955,0.6787235654185246,1.0,0.09704260328312962
Tmem170b,0.41384792,0.059273396,0.6789854867565546,1.0,0.21227464766020576
Atf3,0.4138368,0.025707139,0.6789936215804601,1.0,0.4596058954429645
Cab39l,0.41370907,0.011803972,0.6790871747426976,1.0,0.40539233076402104
Pnpo,0.41369575,0.013711077,0.679096937096675,1.0,0.562808398103654
Nedd4l,0.41363022,0.01664096,0.6791449361199859,1.0,0.5923823652723579
Pip4k2a,0.41362688,0.017659333,0.6791473767830514,1.0,0.29241784113264746
Dus2,0.41358134,0.054744605,0.6791807328487338,1.0,0.21553197665043378
Morc4,0.41335922,0.26855946,0.679343454370005,1.0,0.022156287289966783
Baz2a,0.41328925,0.019790392,0.6793947147442789,1.0,0.5655497145805786
Dph5,0.41328368,0.010783591,0.6793987830914505,1.0,0.41106846841035893
Tmem209,0.41301933,0.00048752062,0.679592447215549,1.0,0.7855000483761732
Nrp2,0.412986,0.03310751,0.6796168601606828,1.0,0.25971554810204145
Stard5,0.41291937,0.022393672,0.6796656870587848,1.0,0.15902860644370626
Pla1a,0.41289827,0.010601464,0.6796811491899685,1.0,0.45428451639952266
Galnt12,0.41238514,0.02100479,0.6800571645712261,1.0,0.42929016028638695
Adgrl3,0.4123096,0.19286121,0.6801125155468396,1.0,0.03234753442770987
Tsr2,0.41206968,0.036888435,0.6802883477253396,1.0,0.21701551262618118
Cnpy2,0.41169983,0.006236751,0.6805594563890528,1.0,0.9324023607572484
Klhl22,0.41162542,0.0073812683,0.6806140087678634,1.0,0.556293740123198
Nlrx1,0.41135105,0.19886088,0.6808151342102196,1.0,0.060566968748992166
Zfp382,0.4111367,0.088292144,0.680972304706112,1.0,0.11449027638920244
Ano1,0.41112003,-0.0014361193,0.680984520609856,1.0,0.9657496694294837
Lsm14a,0.4104414,0.000454448,0.6814821861766781,1.0,0.9597187731802497
Clk3,0.41042364,0.025698235,0.6814952201991669,1.0,0.34150353146063794
Proser3,0.410307,0.04141106,0.6815807583306306,1.0,0.19405295578417778
Chd7,0.41010708,0.033463918,0.6817274046499177,1.0,0.2566839745863837
C1qtnf1,0.4098527,0.053894985,0.6819139887351091,1.0,0.12587480246395974
Srek1,0.40944955,0.010543062,0.6822097928786186,1.0,0.6507240300577289
Arhgef2,0.40902635,0.02468881,0.6825203175245428,1.0,0.5706130873673687
Qpctl,0.40857652,0.014795213,0.6828504617163861,1.0,0.24388041410004194
Osbpl2,0.4084588,0.016573573,0.6829368798478623,1.0,0.43087044860837875
Prickle3,0.40841213,0.14791715,0.6829711221439251,1.0,0.06498532589415293
Asf1a,0.40833107,0.024533508,0.6830306400680217,1.0,0.4508336827168059
Pak6,0.4081489,0.29234976,0.6831643587545262,1.0,0.04353855580997839
